run_id,hour_utc,trades,expectancy_R,pf,winrate
20260221_075421,10,1,-1.13848,0.0,0.0
20260221_075421,17,1,1.5041,inf,1.0
20260221_063806,7,1,-0.76892,0.0,0.0
20260221_063806,8,8,-0.16899875,0.5135974269401382,0.375
20260221_063806,9,56,-0.18870607142857146,0.4758908210442368,0.42857142857142855
20260221_063806,10,46,0.023559565217391297,1.1385367824143906,0.5434782608695652
20260221_063806,11,26,-0.05462230769230769,0.6784806286491784,0.4230769230769231
20260221_063806,12,2,-0.10533,0.0,0.0
20260221_063806,14,1,-0.00709,0.0,0.0
20260221_064929,9,2,0.38665000000000005,5.95260663507109,0.5
20260221_064929,10,2,-0.6393150000000001,0.0,0.0
20260221_074352,7,3,-1.1708999999999998,0.0,0.0
20260221_074352,8,14,0.1098928571428572,1.164110342738344,0.42857142857142855
20260221_074352,9,39,0.04715230769230769,1.0707730757966272,0.41025641025641024
20260221_074352,10,50,-0.3349248,0.588757267124186,0.3
20260221_074352,11,10,-0.6194560000000001,0.3090407756247518,0.2
20260221_074352,12,4,0.3182125,1.5418481199102632,0.5
20260221_074352,13,4,-0.26078250000000003,0.6370875995449374,0.25
20260221_074352,14,3,0.8399300000000002,3.2093537101822873,0.6666666666666666
