candidate,run_id,run_dir,status,r_col,trades_scoreboard,expectancy_scoreboard,pf_scoreboard,winrate_scoreboard,trades_calc,expectancy_calc,median_r_calc,pf_calc,winrate_calc,sum_r_calc,min_r_calc,p05_r_calc,p25_r_calc,p75_r_calc,p95_r_calc,max_r_calc,delta_expectancy,delta_pf,delta_trades,delta_winrate,expectancy_match,pf_match,trades_match,winrate_match,pipeline_bug_suspected,note
v4a_orb_07,20260220_015938,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_015938,ok,r_multiple,329.0,-0.0210480547112461,0.890206952492632,0.4680851063829787,329.0,-0.021048054711246194,-0.03791,0.890206952492632,0.46808510638297873,-6.924809999999997,-1.08979,-0.8149339999999999,-0.30466,0.18629,0.8121419999999997,1.46852,-9.367506770274758e-17,0.0,0.0,5.551115123125783e-17,True,True,True,True,False,
v4a_orb_03,20260220_005035,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_005035,ok,r_multiple,333.0,-0.0245166666666666,0.8743804651433313,0.4654654654654654,333.0,-0.02451666666666666,-0.03881,0.8743804651433313,0.46546546546546547,-8.164049999999998,-1.08979,-0.829402,-0.31258,0.18819,0.8101279999999997,1.46852,-5.898059818321144e-17,0.0,0.0,5.551115123125783e-17,True,True,True,True,False,
v4a_orb_11,20260220_004047,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_004047,ok,r_multiple,327.0,-0.0254565749235473,0.8679218190083228,0.4648318042813456,327.0,-0.025456574923547387,-0.03881,0.8679218190083228,0.4648318042813456,-8.324299999999996,-1.08979,-0.817423,-0.315345,0.186035,0.7941119999999996,1.46852,-8.673617379884035e-17,0.0,0.0,0.0,True,True,True,True,False,
v4a_orb_05,20260220_012603,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_012603,ok,r_multiple,329.0,-0.0264655015197568,0.8619479041874392,0.4680851063829787,329.0,-0.02646550151975683,-0.03791,0.8619479041874392,0.46808510638297873,-8.707149999999997,-1.08979,-0.8149339999999999,-0.30466,0.18819,0.9432979999999999,0.97766,-3.122502256758253e-17,0.0,0.0,5.551115123125783e-17,True,True,True,True,False,
v4a_orb_01,20260220_001535,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_001535,ok,r_multiple,333.0,-0.029869039039039,0.8469557529286298,0.4654654654654654,333.0,-0.029869039039039032,-0.03881,0.8469557529286298,0.46546546546546547,-9.946389999999997,-1.08979,-0.829402,-0.31258,0.19391,0.9422219999999999,0.97766,-3.122502256758253e-17,0.0,0.0,5.551115123125783e-17,True,True,True,True,False,
v4a_orb_09,20260220_023310,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_023310,ok,r_multiple,327.0,-0.0310188990825687,0.8390624119900579,0.4648318042813456,327.0,-0.031018899082568795,-0.03881,0.8390624119900579,0.4648318042813456,-10.143179999999996,-1.08979,-0.817423,-0.315345,0.18724000000000002,0.9438359999999999,0.97766,-9.367506770274758e-17,0.0,0.0,0.0,True,True,True,True,False,
v4a_orb_10,20260220_002310,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_002310,ok,r_multiple,213.0,-0.0937613145539906,0.8034402745101745,0.488262910798122,213.0,-0.09376131455399063,-0.02582,0.8034402745101745,0.48826291079812206,-19.971160000000005,-1.16558,-1.156828,-1.1223,0.86141,0.9042739999999999,0.9566,-2.7755575615628914e-17,0.0,0.0,5.551115123125783e-17,True,True,True,True,False,
v4a_orb_02,20260220_003234,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_003234,ok,r_multiple,217.0,-0.0967635483870967,0.7982035642708744,0.4930875576036866,217.0,-0.09676354838709676,-0.02582,0.7982035642708744,0.4930875576036866,-20.99769,-1.16558,-1.157802,-1.1223,0.86027,0.904022,0.9566,-5.551115123125783e-17,0.0,0.0,0.0,True,True,True,True,False,
v4a_orb_06,20260220_014235,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_014235,ok,r_multiple,214.0,-0.1003697196261682,0.7917179070011442,0.4859813084112149,214.0,-0.10036971962616825,-0.07045,0.7917179070011442,0.48598130841121495,-21.479120000000005,-1.16558,-1.158096,-1.1223,0.8609325,0.904211,0.9566,-5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,True,True,True,True,False,
v4a_orb_04,20260220_010833,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_010833,ok,r_multiple,216.0,-0.1237514814814814,0.7743612063266909,0.4166666666666667,216.0,-0.12375148148148148,-0.422495,0.7743612063266909,0.4166666666666667,-26.73032,-1.16558,-1.1596225,-1.1292849999999999,1.3353475000000001,1.3909625,1.45338,-6.938893903907228e-17,0.0,0.0,0.0,True,True,True,True,False,
v4a_orb_12,20260220_005833,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_005833,ok,r_multiple,210.0,-0.1261941428571428,0.7700889365586228,0.4095238095238095,210.0,-0.12619414285714287,-0.422495,0.7700889365586228,0.4095238095238095,-26.500770000000003,-1.16558,-1.158488,-1.12831,1.3361425,1.3934494999999998,1.45338,-5.551115123125783e-17,0.0,0.0,0.0,True,True,True,True,False,
v4a_orb_08,20260220_021619,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_021619,ok,r_multiple,211.0,-0.1327427962085308,0.7601723925785189,0.4075829383886256,211.0,-0.1327427962085308,-0.43611,0.7601723925785189,0.4075829383886256,-28.00873,-1.16558,-1.159875,-1.12978,1.3357450000000002,1.393035,1.45338,0.0,0.0,0.0,0.0,True,True,True,True,False,
