candidate,run_id,run_dir,status,r_col,trades_scoreboard,expectancy_scoreboard,pf_scoreboard,winrate_scoreboard,trades_calc,expectancy_calc,median_r_calc,pf_calc,winrate_calc,sum_r_calc,min_r_calc,p05_r_calc,p25_r_calc,p75_r_calc,p95_r_calc,max_r_calc,delta_expectancy,delta_pf,delta_trades,delta_winrate,expectancy_match,pf_match,trades_match,winrate_match,pipeline_bug_suspected,note
vtm_edge2_slow_atr,20260221_004727,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_004727,ok,r_multiple,358.0,-0.2085386033519553,0.6256290261888315,0.2346368715083799,358.0,-0.20853860335195534,-0.35869,0.6256290261888315,0.2346368715083799,-74.65682000000001,-1.90404,-1.496295,-1.1947649999999999,-0.047217499999999996,2.3238974999999966,4.00237,-5.551115123125783e-17,0.0,0.0,0.0,True,True,True,True,False,
vtm_edge3_slope01_strict,20260221_012253,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_012253,ok,r_multiple,270.0,-0.2975206296296296,0.5061622011743089,0.2222222222222222,270.0,-0.2975206296296296,-0.432575,0.5061622011743089,0.2222222222222222,-80.33057,-1.90404,-1.5213605,-1.2244799999999998,-0.09946250000000001,2.1445084999999997,3.20627,0.0,0.0,0.0,0.0,True,True,True,True,False,
vtm_edge1_stop12,20260220_204728,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_204728,ok,r_multiple,1312.0,-0.3483271341463415,0.4078023549242424,0.2560975609756097,1312.0,-0.3483271341463415,-0.403215,0.40780235492424244,0.25609756097560976,-457.0052,-2.5247,-1.609604,-1.2066824999999999,0.02724,1.5385805000000001,3.2594,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,True,True,True,True,False,
vtm_edge1_thr22,20260221_014104,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_014104,ok,r_multiple,878.0,-0.3813157630979499,0.4469569953559091,0.2608200455580866,878.0,-0.3813157630979499,-0.5055499999999999,0.4469569953559091,0.2608200455580866,-334.79524000000004,-2.75896,-1.7468625,-1.33405,0.058410000000000004,1.9116249999999995,3.91128,0.0,0.0,0.0,0.0,True,True,True,True,False,
vtm_edge1_thr26,20260221_001050,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_001050,ok,r_multiple,264.0,-0.3996478409090909,0.4572723564842089,0.2765151515151515,264.0,-0.3996478409090909,-0.5368649999999999,0.4572723564842089,0.2765151515151515,-105.50703,-2.09015,-1.7367305,-1.40295,0.1914025,2.1437699999999995,3.97931,0.0,0.0,0.0,0.0,True,True,True,True,False,
vtm_edge1_hold8,20260220_201258,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_201258,ok,r_multiple,1312.0,-0.4226602743902439,0.4008265074055042,0.2278963414634146,1312.0,-0.42266027439024395,-0.51807,0.40082650740550424,0.22789634146341464,-554.5302800000001,-2.82963,-1.7420630000000001,-1.34211,-0.1272925,2.053866000000001,4.27963,-5.551115123125783e-17,5.551115123125783e-17,0.0,5.551115123125783e-17,True,True,True,True,False,
vtm_edge1_baseline,20260220_193807,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_193807,ok,r_multiple,1312.0,-0.4232496722560976,0.3946264564002267,0.2439024390243902,1312.0,-0.4232496722560976,-0.51518,0.39462645640022675,0.24390243902439024,-555.30357,-2.82963,-1.7420630000000001,-1.344165,-0.0462075,1.807623500000001,3.91128,0.0,5.551115123125783e-17,0.0,2.7755575615628914e-17,True,True,True,True,False,
vtm_edge1_hold4,20260220_195535,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_195535,ok,r_multiple,1313.0,-0.4326346153846153,0.3720542723580148,0.2559025133282559,1313.0,-0.43263461538461534,-0.50853,0.37205427235801486,0.2559025133282559,-568.0492499999999,-2.82963,-1.742016,-1.33433,0.02829,1.6300939999999973,3.94143,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,True,True,True,True,False,
vtm_edge1_thr18,20260220_210512,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_210512,ok,r_multiple,1804.0,-0.4457988968957871,0.3626994934917976,0.2461197339246119,1804.0,-0.44579889689578717,-0.507605,0.36269949349179764,0.24611973392461198,-804.22121,-2.75896,-1.752442,-1.353535,-0.0121425,1.6705024999999993,3.91128,-5.551115123125783e-17,5.551115123125783e-17,0.0,8.326672684688674e-17,True,True,True,True,False,
vtm_edge3_slope01,20260221_010511,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_010511,ok,r_multiple,1009.0,-0.5070116352824579,0.3226511002544275,0.2269573835480673,1009.0,-0.5070116352824579,-0.55338,0.3226511002544275,0.22695738354806738,-511.57473999999996,-2.82963,-1.80327,-1.43121,-0.13588,1.6521439999999985,3.91128,0.0,0.0,0.0,8.326672684688674e-17,True,True,True,True,False,
