candidate,run_id,status,pf,expectancy_R,trades,winrate,ci_low,ci_high,crosses_zero,retention_vs_b4_pct,gate_pf_gt_1,gate_exp_gt_0,gate_ci_not_cross_zero,gate_trades_ge_100,gate_all,note,config
vtm_edge1_thr26,20260221_020847,ok,1.062438592565931,0.032092500000000024,4,0.5,-1.0279699999999998,1.253459937499993,True,200.0,True,True,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/vtm_candidates/vtm_edge1_thr26.yaml
vtm_edge3_slope01,20260221_021051,ok,0.0,-0.08384,1,0.0,-0.08384,-0.08384,False,50.0,False,False,True,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/vtm_candidates/vtm_edge3_slope01.yaml
vtm_edge1_thr18,20260221_020724,ok,0.6224141212770861,-0.16584039999999994,25,0.24,-0.48218504,0.1457853199999998,True,1250.0,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/vtm_candidates/vtm_edge1_thr18.yaml
vtm_edge1_hold8,20260221_020520,ok,0.5390506345813874,-0.25690470588235287,17,0.23529411764705882,-0.6909179558823529,0.1644087794117645,True,850.0,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/vtm_candidates/vtm_edge1_hold8.yaml
vtm_edge2_fast_atr,20260221_020928,ok,0.5475542112525473,-0.26406666666666667,30,0.16666666666666666,-0.6111855,0.1408028166666665,True,1500.0,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/vtm_candidates/vtm_edge2_fast_atr.yaml
vtm_edge1_hold4,20260221_020438,ok,0.5129866223383203,-0.2714311764705882,17,0.23529411764705882,-0.6922438970588236,0.146101294117647,True,850.0,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/vtm_candidates/vtm_edge1_hold4.yaml
vtm_edge1_stop12,20260221_020642,ok,0.4389593157392595,-0.2770758823529412,17,0.23529411764705882,-0.6385836470588234,0.0938058088235293,True,850.0,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/vtm_candidates/vtm_edge1_stop12.yaml
vtm_edge1_baseline,20260221_020357,ok,0.46675743423309324,-0.29719647058823523,17,0.23529411764705882,-0.7046978088235294,0.1038486323529409,True,850.0,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/vtm_candidates/vtm_edge1_baseline.yaml
vtm_edge1_stop08,20260221_020601,ok,0.46047609664625566,-0.3398470588235294,17,0.17647058823529413,-0.7854595,0.1532957352941175,True,850.0,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/vtm_candidates/vtm_edge1_stop08.yaml
vtm_edge1_thr22,20260221_020805,ok,0.3415092127172239,-0.35097833333333334,12,0.16666666666666666,-0.7840197708333333,0.1088692708333333,True,600.0,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/vtm_candidates/vtm_edge1_thr22.yaml
vtm_edge2_slow_atr,20260221_021010,ok,0.0,-0.37534,3,0.0,-1.03688,-0.01397,False,150.0,False,False,True,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/vtm_candidates/vtm_edge2_slow_atr.yaml
vtm_edge3_slope01_strict,20260221_021132,ok,,,0,,,,False,0.0,False,False,True,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/vtm_candidates/vtm_edge3_slope01_strict.yaml
